time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-05-13 00:00:00,1,50.75,4.25,0.0,101133.63,16.27324,-93.0,-80.0,102046.3,-0.7712134,-2.2266164,285.341,282.86172,8.0,0.0,0.0,-0.015625,282.86984,,423.79974,286.07446,0.0,-1.4901161e-08,16.121803,-1.9073486e-06,,
2023-05-13 00:00:00,2,50.75,4.25,0.0,101127.125,15.216929,-93.0,-80.0,102038.51,-1.261802,-2.4443715,285.33594,282.39426,8.0,0.0,0.0,-0.015625,282.5799,,413.6039,286.16382,0.0,-1.4901161e-08,15.876125,-1.9073486e-06,,
2023-05-13 00:00:00,3,50.75,4.25,8.567078,101125.95,17.110168,-93.0,-80.0,102039.766,-1.1376967,-2.340411,285.52005,283.22662,8.0,0.0,0.0,-0.015625,283.0791,-69.043106,410.60846,286.35455,0.0,-1.4901161e-08,16.948875,-1.9073486e-06,,
2023-05-13 00:00:00,4,50.75,4.25,0.0,101149.79,14.992717,-93.0,-80.0,102062.7,-1.1078095,-2.214675,285.18137,282.3849,8.0,0.0,0.0,-0.015625,282.51343,,417.31705,286.11584,0.0,-1.4901161e-08,16.033298,-1.9073486e-06,,
2023-05-13 00:00:00,5,50.75,4.25,47.66992,101153.13,16.87146,-93.0,-80.0,102068.53,-0.9988303,-2.350245,285.3585,283.1573,8.0,0.0,0.0,-0.015625,282.9387,-84.785934,413.65567,286.17914,0.0,-1.4901161e-08,15.836449,-1.9073486e-06,,
2023-05-13 00:00:00,6,50.75,4.25,0.0,101118.46,17.235806,-93.0,-80.0,102032.37,-1.0547779,-1.6686479,284.58475,282.29752,8.0,0.0,0.0,-0.015625,282.356,,414.77103,285.87845,0.0,-1.4901161e-08,15.450382,-1.9073486e-06,,
2023-05-13 00:00:00,7,50.75,4.25,20.340698,101136.25,17.039297,-93.0,-80.0,102050.45,-1.2266297,-2.5893073,285.9001,283.5564,8.0,0.0,0.0,-0.015625,283.4755,-73.27733,413.03918,286.1846,0.0,-1.4901161e-08,15.572456,-1.9073486e-06,,
2023-05-13 00:00:00,8,50.75,4.25,23.39917,101171.09,18.42355,-93.0,-80.0,102085.4,-1.0894034,-2.2783623,285.64536,283.41306,8.0,0.0,0.0,-0.015625,283.29352,-81.7799,421.09842,286.33163,0.0,-1.4901161e-08,21.723618,-1.9073486e-06,,
2023-05-13 00:00:00,9,50.75,4.25,32.903595,101154.84,16.349909,-93.0,-80.0,102068.12,-0.3179841,-2.279299,285.04684,282.93643,8.0,0.0,0.0,-0.015625,282.7124,-81.24162,409.54016,286.08105,0.0,-1.4901161e-08,17.547054,-1.9073486e-06,,
2023-05-13 00:00:00,10,50.75,4.25,21.886414,101112.95,16.164354,-93.0,-80.0,102024.44,-0.9332242,-2.4462447,285.74075,283.4854,8.0,0.0,0.0,-0.015625,283.2405,-112.69694,414.03687,286.0532,0.0,-1.4901161e-08,16.201157,-1.9073486e-06,,
2023-05-13 00:00:00,11,50.75,4.25,32.311615,101129.93,17.09825,-93.0,-80.0,102043.99,-0.48837793,-2.8065944,285.56586,283.3831,8.0,0.0,0.0,-0.015625,283.2413,-90.779045,418.26062,286.0514,0.0,-1.4901161e-08,15.863918,-1.9073486e-06,,
2023-05-13 00:00:00,12,50.75,4.25,74.7525,101137.875,17.554405,-93.0,-80.0,102053.0,-0.8792813,-2.345796,285.52322,283.4901,8.0,0.0,0.0,-0.015625,283.2053,-83.79277,418.24887,286.02155,0.0,-1.4901161e-08,17.724068,-1.9073486e-06,,
2023-05-13 00:00:00,13,50.75,4.25,30.091736,101123.79,16.031631,-93.0,-80.0,102036.695,-1.0146852,-2.0496025,285.3938,283.35684,8.0,0.0,0.0,-0.015625,283.0443,-101.29448,419.1501,286.05536,0.0,-1.4901161e-08,15.937164,-1.9073486e-06,,
2023-05-13 00:00:00,14,50.75,4.25,7.8928833,101137.875,16.328325,-93.0,-80.0,102049.58,-0.79836714,-2.4261081,285.2405,282.80246,8.0,0.0,0.0,-0.015625,282.77216,-86.17333,412.43207,285.97952,0.0,-1.4901161e-08,15.477848,-1.9073486e-06,,
2023-05-13 00:00:00,15,50.75,4.25,40.434753,101097.24,15.310673,-93.0,-80.0,102007.086,-0.5514327,-2.2872598,285.6463,283.32617,8.0,0.0,0.0,-0.015625,283.17288,-87.56073,422.09378,285.99963,0.0,-1.4901161e-08,17.063324,-1.9073486e-06,,
