time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-03-15 00:00:00,1,50.75,4.25,28.960243,100455.01,9.870226,98.0,2.0,101402.99,3.1794362,2.4789927,275.39597,273.7208,0.0,0.0,0.0,-0.0078125,274.70813,-0.35883713,404.96225,278.61215,0.11886883,2.3841858e-07,99.538605,0.0,,
2023-03-15 00:00:00,2,50.75,4.25,48.638885,100370.34,9.650913,98.0,2.0,101315.64,3.0426228,2.2905242,275.6912,273.92487,0.0,0.0,0.0,-0.0078125,274.75537,-8.86269,401.56604,278.56638,0.08072996,2.3841858e-07,81.365906,0.0,,
2023-03-15 00:00:00,3,50.75,4.25,1.6175995,100421.72,9.291584,98.0,2.0,101369.92,2.8114703,2.8965993,274.94537,273.43375,0.0,0.0,0.0,-0.0078125,273.97894,,408.99426,278.48193,0.44668484,2.3841858e-07,84.59027,0.0,,
2023-03-15 00:00:00,4,50.75,4.25,20.184914,100459.29,9.51054,98.0,2.0,101409.58,3.122235,2.511479,274.91086,273.5823,0.0,0.0,0.0,-0.0078125,274.3655,,410.66785,278.37497,0.14988422,2.3841858e-07,80.49153,0.0,,
2023-03-15 00:00:00,5,50.75,4.25,52.931885,100442.805,10.399576,98.0,2.0,101390.31,3.6364057,1.617493,275.28088,272.37985,0.0,0.0,0.0,-0.0078125,274.39096,0.00016021729,401.8733,278.68613,0.084439754,2.3841858e-07,100.00098,0.0,,
2023-03-15 00:00:00,6,50.75,4.25,49.717278,100386.61,9.556259,98.0,2.0,101333.016,2.800158,2.0043495,275.25485,273.5775,0.0,0.0,0.0,-0.0078125,274.4066,-4.672489,411.35593,278.5715,1.1192348,2.3841858e-07,93.80251,0.0,,
2023-03-15 00:00:00,7,50.75,4.25,12.936623,100407.914,9.381238,98.0,2.0,101354.6,2.9604495,1.9274743,275.52948,273.64233,0.0,0.0,0.0,-0.0078125,274.71432,,409.4339,278.5239,0.13608313,2.3841858e-07,95.847305,0.0,,
2023-03-15 00:00:00,8,50.75,4.25,1.1895294,100381.16,9.161925,98.0,2.0,101328.164,3.0618322,2.7510324,275.13553,273.92233,0.0,0.0,0.0,-0.0078125,274.05017,,407.52332,278.38446,0.46642208,2.3841858e-07,95.52838,0.0,,
2023-03-15 00:00:00,9,50.75,4.25,6.075241,100393.36,9.5630455,98.0,2.0,101339.44,3.292985,3.1649191,275.488,273.88828,0.0,0.0,0.0,-0.0078125,274.50577,,403.8084,278.65,0.080581665,2.3841858e-07,99.51114,0.0,,
2023-03-15 00:00:00,10,50.75,4.25,37.937263,100442.38,9.8991585,98.0,2.0,101390.1,2.3124535,1.9495449,275.24847,273.11945,0.0,0.0,0.0,-0.0078125,274.51666,,403.40143,278.73468,0.59300756,2.3841858e-07,98.54826,0.0,,
