time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-05-05 00:00:00,1,50.75,4.25,0.0,100716.51,17.497246,34.5,168.0,101622.17,3.0850244,0.81362414,287.2725,283.89465,0.0,0.0,0.0,-0.0078125,284.4797,,328.66867,287.0935,0.0,0.0,25.744532,-3.8146973e-06,,
2023-05-05 00:00:00,2,50.75,4.25,0.0,100714.59,18.526531,34.5,168.0,101618.06,2.9181483,0.79024374,287.8334,284.87817,0.0,0.0,0.0,-0.0078125,285.1605,-145.71573,321.04364,286.94403,0.0,0.0,11.74992,-3.8146973e-06,,
2023-05-05 00:00:00,3,50.75,4.25,0.0,100732.234,17.985544,34.5,168.0,101634.586,2.9735072,0.32814902,287.7219,284.23795,0.0,0.0,0.0,-0.0078125,284.7667,-174.72656,333.5584,287.00598,0.0,0.0,10.202591,-3.8146973e-06,,
2023-05-05 00:00:00,4,50.75,4.25,7.637085,100723.164,19.587124,34.5,168.0,101626.81,3.0090806,0.6759883,287.54745,284.44714,0.0,0.0,0.0,-0.0078125,284.79675,-4.1810684,351.99222,286.82568,0.0,0.0,16.890892,-3.8146973e-06,,
2023-05-05 00:00:00,5,50.75,4.25,0.0897522,100709.45,18.927402,34.5,168.0,101611.92,2.7180972,0.6329771,287.87723,284.767,0.0,0.0,0.0,-0.0078125,285.06604,-126.96918,349.96994,287.1437,0.0,0.0,36.192802,-3.8146973e-06,,
2023-05-05 00:00:00,6,50.75,4.25,0.0,100689.91,18.44292,34.5,168.0,101593.125,2.8511982,0.8586205,287.72498,284.61234,0.0,0.0,0.0,-0.0078125,285.02432,-176.70349,337.0248,287.20178,0.0,0.0,10.207169,-3.8146973e-06,,
2023-05-05 00:00:00,7,50.75,4.25,0.0,100705.625,18.555164,34.5,168.0,101608.78,3.329842,0.6863552,288.03214,284.77295,0.0,0.0,0.0,-0.0078125,285.21655,-147.2446,347.48877,287.2151,0.0,0.0,10.904537,-3.8146973e-06,,
2023-05-05 00:00:00,8,50.75,4.25,0.0,100725.68,19.054537,34.5,168.0,101628.65,2.9365346,0.73796856,287.65802,284.42722,0.0,0.0,0.0,-0.0078125,284.8775,-164.76328,339.12744,286.8129,0.0,0.0,29.002462,-3.8146973e-06,,
2023-05-05 00:00:00,9,50.75,4.25,0.039886475,100745.94,19.2355,34.5,168.0,101649.13,2.7484746,0.6565782,287.76407,284.73975,0.0,0.0,0.0,-0.0078125,285.04736,-126.61005,329.77832,287.22552,0.0,0.0,11.618687,-3.8146973e-06,,
2023-05-05 00:00:00,10,50.75,4.25,0.0,100722.66,18.192852,34.5,168.0,101626.57,3.1611676,0.61378753,287.86246,284.8025,0.0,0.0,0.0,-0.0078125,285.18985,-138.98804,351.78482,287.02368,0.0,0.0,12.027645,-3.8146973e-06,,
2023-05-05 00:00:00,11,50.75,4.25,0.0,100719.234,18.697187,34.5,168.0,101623.33,2.9141512,0.60937613,287.57678,284.64343,0.0,0.0,0.0,-0.0078125,284.90152,-168.4401,345.34464,287.10162,0.0,0.0,11.4386215,-3.8146973e-06,,
2023-05-05 00:00:00,12,50.75,4.25,0.0,100722.555,18.420013,34.5,168.0,101627.24,2.1363297,0.68106145,286.8274,284.19476,0.0,0.0,0.0,-0.0078125,284.441,,347.58212,286.67105,0.0,0.0,83.899,-3.8146973e-06,,
2023-05-05 00:00:00,13,50.75,4.25,0.0,100703.71,19.34011,34.5,168.0,101607.43,3.1587694,0.6876786,287.78885,284.78674,0.0,0.0,0.0,-0.0078125,285.10944,-154.95734,354.94266,286.97772,0.0,0.0,13.5719185,-3.8146973e-06,,
2023-05-05 00:00:00,14,50.75,4.25,0.6779785,100699.68,19.12822,34.5,168.0,101603.23,3.0774298,0.665401,287.88058,284.97833,0.0,0.0,0.0,-0.0078125,285.17917,-140.94786,336.92627,287.19843,0.0,0.0,10.635967,-3.8146973e-06,,
2023-05-05 00:00:00,15,50.75,4.25,0.0,100695.75,18.814013,34.5,168.0,101599.12,3.061042,0.63518286,287.8856,284.87973,0.0,0.0,0.0,-0.0078125,285.22556,-149.37544,340.14377,287.0629,0.0,0.0,10.202591,-3.8146973e-06,,
2023-05-05 00:00:00,16,50.75,4.25,0.0,100721.25,17.527788,34.5,168.0,101626.516,3.4037871,0.6451085,287.56366,284.40137,0.0,0.0,0.0,-0.0078125,284.86282,,330.36945,286.82477,0.0,0.0,10.635967,-3.8146973e-06,,
2023-05-05 00:00:00,17,50.75,4.25,149.51123,100690.41,19.687914,34.5,168.0,101592.98,3.0496507,0.7284841,287.80814,284.5985,0.0,0.0,0.0,-0.0078125,284.9369,-0.0014877319,335.8529,286.7037,0.0,0.0,19.190517,-3.8146973e-06,,
2023-05-05 00:00:00,18,50.75,4.25,2.2033997,100717.22,19.178234,34.5,168.0,101620.28,2.7238927,0.6713564,287.78265,284.5964,0.0,0.0,0.0,-0.0078125,285.07806,-67.63071,348.38324,286.93048,0.0,0.0,10.489475,-3.8146973e-06,,
2023-05-05 00:00:00,19,50.75,4.25,10.997009,100743.72,19.086224,34.5,168.0,101647.69,2.8603914,0.17705838,287.72903,284.75406,0.0,0.0,0.0,-0.0078125,285.02332,-44.65326,323.99667,287.0989,0.0,0.0,10.202591,-3.8146973e-06,,
2023-05-05 00:00:00,20,50.75,4.25,0.0,100709.055,19.649353,34.5,168.0,101612.45,2.887571,0.72274923,287.6435,284.73135,0.0,0.0,0.0,-0.0078125,285.00296,-146.96756,345.05426,286.84735,0.0,0.0,13.613121,-3.8146973e-06,,
2023-05-05 00:00:00,21,50.75,4.25,0.0,100689.91,18.527294,34.5,168.0,101592.79,2.8360095,0.44416898,287.50577,284.52704,0.0,0.0,0.0,-0.0078125,284.74036,,330.37982,287.17896,0.0,0.0,12.752476,-3.8146973e-06,,
2023-05-05 00:00:00,22,50.75,4.25,0.0,100712.08,19.750526,34.5,168.0,101615.06,3.351626,0.73686576,288.07907,284.87048,0.0,0.0,0.0,-0.0078125,285.2733,-125.990974,335.5055,287.12653,0.0,0.0,10.553562,-3.8146973e-06,,
2023-05-05 00:00:00,23,50.75,4.25,0.0,100701.3,19.237793,34.5,168.0,101604.29,2.9571195,0.89964664,287.73953,284.5887,0.0,0.0,0.0,-0.0078125,284.95392,-123.05637,333.3147,286.84683,0.0,0.0,32.361107,-3.8146973e-06,,
2023-05-05 00:00:00,24,50.75,4.25,0.0,100696.26,18.290207,34.5,168.0,101600.18,2.9621158,1.2071215,287.61203,284.53333,0.0,0.0,0.0,-0.0078125,284.9666,,363.48807,286.63892,0.0,0.0,10.556618,-3.8146973e-06,,
2023-05-05 00:00:00,25,50.75,4.25,0.0,100715.7,19.22214,34.5,168.0,101620.58,2.759866,0.38086534,287.47812,284.56564,0.0,0.0,0.0,-0.0078125,284.8715,,336.49332,287.07593,0.0,0.0,17.760689,-3.8146973e-06,,
