time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-06-20 00:00:00,1,50.75,4.25,156.46942,100313.74,35.605087,44.0,0.0,101207.195,-1.9686507,2.215328,292.27625,289.16605,0.0,0.0,0.0,0.015625,290.43848,-1.8602295,176.20172,294.51254,0.0,0.0,91.96224,0.0,,
2023-06-20 00:00:00,2,50.75,4.25,77.33478,100289.3,37.562717,44.0,0.0,101183.555,-1.1186109,1.3555186,291.68747,289.0072,0.0,0.0,0.0,0.015625,289.89426,-1.7234802,234.00262,293.80225,0.0,0.0,99.988815,0.0,,
2023-06-20 00:00:00,3,50.75,4.25,54.91223,100297.305,36.332764,44.0,0.0,101189.59,-1.3155878,1.2209517,292.57828,288.61758,0.0,0.0,0.0,0.015625,290.61746,-2.9752808,170.80914,294.56805,0.0,0.0,97.05286,0.0,,
2023-06-20 00:00:00,4,50.75,4.25,42.98407,100327.29,35.461113,44.0,0.0,101220.9,-0.70811415,0.72753954,292.2212,288.947,0.0,0.0,0.0,0.015625,290.31845,-1.8707275,199.94638,293.94962,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,5,50.75,4.25,30.232239,100275.5,37.915806,44.0,0.0,101168.32,-0.9449096,2.3755267,292.7215,289.35056,0.0,0.0,0.0,0.015625,290.72598,-13.820801,198.19235,294.13995,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,6,50.75,4.25,89.293396,100311.93,37.26956,44.0,0.0,101205.664,-1.2530706,0.927788,291.9478,289.53458,0.0,0.0,0.0,0.015625,290.52435,-11.780029,224.26122,293.82697,0.0,0.0,99.910995,0.0,,
2023-06-20 00:00:00,7,50.75,4.25,62.752502,100293.836,35.478054,44.0,0.0,101185.766,-1.0382043,0.6627735,293.5286,288.10498,0.0,0.0,0.0,0.015625,290.90793,-6.762268,188.05954,294.6285,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,8,50.75,4.25,135.2367,100331.42,35.70541,44.0,0.0,101224.3,-0.4620855,0.8593602,292.79404,289.32642,0.0,0.0,0.0,0.015625,290.59952,-1.1659241,222.51202,293.69214,0.0,0.0,99.91557,0.0,,
2023-06-20 00:00:00,9,50.75,4.25,57.566345,100298.71,39.228493,44.0,0.0,101193.24,-1.5623859,1.3507127,291.8361,289.25195,0.0,0.0,0.0,0.015625,290.236,-0.32437134,207.14612,293.69693,0.0,0.0,99.99797,0.0,,
2023-06-20 00:00:00,10,50.75,4.25,168.18402,100306.805,37.308647,44.0,0.0,101199.56,-0.7575507,1.5395182,292.64923,289.67792,0.0,0.0,0.0,0.015625,290.79388,-0.94503784,175.16281,294.30212,0.0,0.0,99.93236,0.0,,
2023-06-20 00:00:00,11,50.75,4.25,49.75659,100292.516,36.97836,44.0,0.0,101184.18,0.43085063,0.89780796,293.2536,288.7777,0.0,0.0,0.0,0.015625,291.0626,-0.261261,165.99643,294.98874,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,12,50.75,4.25,37.00476,100327.46,37.827858,44.0,0.0,101220.99,-0.3962983,0.66368896,293.154,289.71985,0.0,0.0,0.0,0.015625,290.95108,-5.037079,184.57565,294.43027,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,13,50.75,4.25,51.342957,100317.05,34.805748,44.0,0.0,101211.12,0.53722584,1.008345,292.79022,288.6585,0.0,0.0,0.0,0.015625,290.32272,-91.969574,241.09605,293.81375,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,14,50.75,4.25,65.31506,100333.984,34.756237,44.0,0.0,101227.09,-0.3778317,1.212484,293.3981,288.63794,0.0,0.0,0.0,0.015625,290.74347,-13.715607,177.21643,294.37085,0.0,0.0,99.978134,0.0,,
2023-06-20 00:00:00,15,50.75,4.25,48.59735,100315.4,34.562103,44.0,0.0,101206.35,-0.45612228,2.3595068,293.70554,289.09058,0.0,0.0,0.0,0.015625,290.99594,-5.678772,217.57367,293.98932,0.0,0.0,95.08589,0.0,,
2023-06-20 00:00:00,16,50.75,4.25,205.2193,100274.76,40.584827,44.0,0.0,101166.516,-0.25222045,0.99736,293.55405,289.7201,0.0,0.0,0.0,0.015625,291.1339,-8.582123,202.43488,294.10974,0.0,0.0,99.99797,0.0,,
2023-06-20 00:00:00,17,50.75,4.25,220.9303,100300.945,36.34449,44.0,0.0,101194.95,-0.881623,-0.39408037,292.15945,289.26617,0.0,0.0,0.0,0.015625,290.45728,-1.3132019,194.67462,294.41995,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,18,50.75,4.25,51.617493,100340.34,34.800537,44.0,0.0,101233.64,0.2515709,0.46435595,293.2412,287.82312,0.0,0.0,0.0,0.015625,290.58627,-3.3434448,180.37177,293.98605,0.0,0.0,99.9995,0.0,,
2023-06-20 00:00:00,19,50.75,4.25,94.26605,100349.43,34.738647,44.0,0.0,101242.8,-0.14719182,1.0676186,293.1995,289.36758,0.0,0.0,0.0,0.015625,290.87634,-7.5091553,178.18768,294.3712,0.0,0.0,99.373856,0.0,,
