time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-02-10 00:00:00,1,50.75,4.25,17.421406,102748.59,8.314746,-4.6875,-43.5,103711.31,2.1511528,0.8833715,275.4912,274.29495,0.0,250.0,0.0,0.0,273.06378,-0.67485046,358.24142,276.57898,0.0,0.0,96.047516,0.0,,
2023-02-10 00:00:00,2,50.75,4.25,-3.8146973e-06,102741.5,6.738458,-4.6875,-43.5,103704.61,2.3895302,0.49565244,273.8243,273.05194,0.0,250.0,0.0,0.0,270.80414,,356.71167,276.33926,0.0,0.0,49.091938,0.0,,
2023-02-10 00:00:00,3,50.75,4.25,-3.8146973e-06,102738.56,7.2260375,-4.6875,-43.5,103700.83,2.191403,1.0901748,274.63715,273.35648,0.0,250.0,0.0,0.0,271.8994,,363.49423,276.37146,0.0,0.0,87.3495,0.0,,
2023-02-10 00:00:00,4,50.75,4.25,-3.8146973e-06,102804.26,7.1078362,-4.6875,-43.5,103767.375,2.37461,0.5746459,272.94675,272.22766,0.0,250.0,0.0,0.0,269.51837,,358.28473,275.7751,0.0,0.0,58.746742,0.0,,
2023-02-10 00:00:00,5,50.75,4.25,-3.8146973e-06,102723.23,7.077192,-4.6875,-43.5,103686.66,2.3109384,1.216801,273.0136,272.16684,0.0,250.0,0.0,0.0,269.99734,,360.17212,276.0555,0.0,0.0,39.603466,0.0,,
2023-02-10 00:00:00,6,50.75,4.25,0.12647247,102751.25,7.512511,-4.6875,-43.5,103713.68,2.3999395,0.6814499,274.16348,273.49075,0.0,250.0,0.0,0.0,271.2296,,358.8575,276.3383,0.0,0.0,39.695023,0.0,,
2023-02-10 00:00:00,7,50.75,4.25,0.3486519,102705.62,7.305112,-4.6875,-43.5,103667.15,2.0116658,1.545349,274.66107,273.7421,0.0,250.0,0.0,0.0,272.10526,,359.4303,276.48074,0.0,0.0,57.356583,0.0,,
2023-02-10 00:00:00,8,50.75,4.25,-3.8146973e-06,102750.96,6.8473563,-4.6875,-43.5,103713.375,2.0829706,0.9974239,273.13104,272.33487,0.0,250.0,0.0,0.0,269.60098,,358.8128,276.04135,0.0,0.0,47.616325,0.0,,
2023-02-10 00:00:00,9,50.75,4.25,-3.8146973e-06,102766.96,7.0594068,-4.6875,-43.5,103730.34,2.1261702,0.9255309,273.79727,273.09247,0.0,250.0,0.0,0.0,270.70248,,357.2593,276.09116,0.0,0.0,86.79557,0.0,,
2023-02-10 00:00:00,10,50.75,4.25,-3.8146973e-06,102735.53,7.124527,-4.6875,-43.5,103698.85,2.3563933,1.2830727,272.81628,271.90628,0.0,250.0,0.0,0.0,269.75803,,357.94385,275.74908,0.0,0.0,38.301815,0.0,,
2023-02-10 00:00:00,11,50.75,4.25,0.22217941,102735.16,7.4454756,-4.6875,-43.5,103696.58,1.985295,1.14905,274.13998,273.30728,0.0,250.0,0.0,0.0,271.08694,,357.68958,276.34702,0.0,0.0,85.27724,0.0,,
2023-02-10 00:00:00,12,50.75,4.25,2.5568085,102724.93,7.736874,-4.6875,-43.5,103686.055,2.1450806,1.2082212,275.75638,274.4355,0.0,250.0,0.0,0.0,273.33032,,357.62534,276.38992,0.0,0.0,96.93411,0.0,,
2023-02-10 00:00:00,13,50.75,4.25,3.0034523,102746.8,8.009119,-4.6875,-43.5,103709.38,2.0659685,1.208665,274.2192,273.40524,0.0,250.0,0.0,0.0,271.67853,,357.47305,276.11084,0.0,0.0,83.10425,0.0,,
2023-02-10 00:00:00,14,50.75,4.25,0.8306198,102731.84,7.525097,-4.6875,-43.5,103693.914,2.0899105,1.1159142,274.9246,273.9583,0.0,250.0,0.0,0.0,272.4838,,359.9779,276.45853,0.0,0.0,69.71083,0.0,,
2023-02-10 00:00:00,15,50.75,4.25,5.4827843,102742.26,8.258656,-4.6875,-43.5,103704.95,1.8477163,1.4648762,275.25974,274.23856,0.0,250.0,0.0,0.0,272.98465,,359.46103,276.3354,0.0,0.0,93.818085,0.0,,
2023-02-10 00:00:00,16,50.75,4.25,0.41360092,102746.04,7.6309857,-4.6875,-43.5,103707.7,2.3565667,0.72775126,274.37885,273.43356,0.0,250.0,0.0,0.0,271.58188,,358.4342,276.448,0.0,0.0,62.306828,0.0,,
2023-02-10 00:00:00,17,50.75,4.25,0.20850754,102732.98,6.477978,-4.6875,-43.5,103696.02,2.0590289,1.1503813,274.4801,273.56345,0.0,250.0,0.0,0.0,271.85748,,361.36237,276.2937,0.0,0.0,74.93269,0.0,,
2023-02-10 00:00:00,18,50.75,4.25,0.46373367,102735.25,7.4900746,-4.6875,-43.5,103697.484,2.2831798,0.84446645,274.59467,273.6572,0.0,250.0,0.0,0.0,272.07614,,358.87427,276.49326,0.0,0.0,84.32503,0.0,,
2023-02-10 00:00:00,19,50.75,4.25,3.1994286,102712.16,8.063568,-4.6875,-43.5,103673.984,2.0701325,1.1866238,275.15372,274.0707,0.0,250.0,0.0,0.0,272.80133,,360.40402,276.48563,0.0,0.0,93.86844,0.0,,
2023-02-10 00:00:00,20,50.75,4.25,0.020507812,102762.89,7.338766,-4.6875,-43.5,103725.96,2.5484483,0.6270124,272.32675,271.8595,0.0,250.0,0.0,0.0,268.72064,,358.28333,275.85596,0.0,0.0,58.26911,0.0,,
2023-02-10 00:00:00,21,50.75,4.25,-3.8146973e-06,102750.305,7.282402,-4.6875,-43.5,103713.805,2.232694,1.4125097,272.59998,271.78943,0.0,250.0,0.0,0.0,269.75177,,358.91757,275.86557,0.0,0.0,90.67916,0.0,,
