time,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,cin,sm,st,sd,sf,tcc,tp,mx2t6,mn2t6
2023-02-01 00:00:00,1,50.75,4.25,61.07238,101409.61,10.740416,99.5,-80.0,102353.24,4.3316293,0.6228118,278.94547,277.86493,0.0,0.0,0.0,-0.0078125,277.56506,0.00015258789,366.6371,278.0479,0.0,2.3841858e-07,99.999405,0.0,,
2023-02-01 00:00:00,2,50.75,4.25,16.960354,101399.96,10.368865,99.5,-80.0,102342.38,5.0677247,0.68345475,279.79117,277.7083,0.0,0.0,0.0,-0.0078125,278.52225,,364.48074,278.49686,0.0,2.3841858e-07,92.58017,0.0,,
2023-02-01 00:00:00,3,50.75,4.25,17.88162,101344.01,10.001967,99.5,-80.0,102286.62,4.5879087,0.73649096,278.81174,277.62195,0.0,0.0,0.0,-0.0078125,277.1602,,367.23358,278.13834,0.0,2.3841858e-07,88.251015,0.0,,
2023-02-01 00:00:00,4,50.75,4.25,3.5264854,101409.61,9.796917,99.5,-80.0,102352.7,4.658318,0.61795187,278.9737,277.35083,0.0,0.0,0.0,-0.0078125,277.28677,,364.84122,277.96875,0.0,2.3841858e-07,87.65284,0.0,,
2023-02-01 00:00:00,5,50.75,4.25,11.259079,101391.61,9.756372,99.5,-80.0,102334.01,4.9160743,0.285789,279.61414,277.5063,0.0,0.0,0.0,-0.0078125,278.1777,,365.96143,278.26428,0.0,2.3841858e-07,99.88038,0.0,,
2023-02-01 00:00:00,6,50.75,4.25,3.0114822,101411.09,9.803232,99.5,-80.0,102353.67,5.057139,0.52984,279.09866,277.49905,0.0,0.0,0.0,-0.0078125,277.4581,,365.9097,278.29877,0.0,2.3841858e-07,79.5164,0.0,,
2023-02-01 00:00:00,7,50.75,4.25,1.9950676,101400.61,9.654014,99.5,-80.0,102347.27,4.2338934,0.8715112,277.7594,276.73474,0.0,0.0,0.0,-0.0078125,276.13678,,366.5288,278.27927,0.0,2.3841858e-07,76.20659,0.0,,
2023-02-01 00:00:00,8,50.75,4.25,37.10134,101403.39,10.235267,99.5,-80.0,102347.39,4.047531,0.5499134,278.66513,277.61954,0.0,0.0,0.0,-0.0078125,277.09833,,367.27237,278.28586,0.0,2.3841858e-07,82.846054,0.0,,
2023-02-01 00:00:00,9,50.75,4.25,43.63025,101393.74,10.51476,99.5,-80.0,102336.49,4.532271,0.6466887,279.17102,277.9826,0.0,0.0,0.0,-0.0078125,277.6251,0.00015258789,367.26752,278.19876,0.0,2.3841858e-07,96.69722,0.0,,
2023-02-01 00:00:00,10,50.75,4.25,10.973637,101393.93,10.031214,99.5,-80.0,102336.26,4.5413795,0.76818585,279.0518,277.76334,0.0,0.0,0.0,-0.0078125,277.38782,,366.8925,278.2666,0.0,2.3841858e-07,82.00983,0.0,,
2023-02-01 00:00:00,11,50.75,4.25,40.407326,101402.37,10.015926,99.5,-80.0,102346.46,4.2526035,0.74578786,278.45383,277.5179,0.0,0.0,0.0,-0.0078125,276.8679,,365.71088,278.4664,0.0,2.3841858e-07,90.230194,0.0,,
2023-02-01 00:00:00,12,50.75,4.25,19.734724,101434.664,10.1133,99.5,-80.0,102378.65,4.1066155,0.5699868,278.65634,277.64444,0.0,0.0,0.0,-0.0078125,277.0411,,364.1413,278.16647,0.0,2.3841858e-07,87.43921,0.0,,
2023-02-01 00:00:00,13,50.75,4.25,14.11198,101404.04,9.912902,99.5,-80.0,102349.6,4.4525065,0.7271936,277.96957,276.76605,0.0,0.0,0.0,-0.0078125,276.2758,,366.1651,278.20215,0.0,2.3841858e-07,77.02298,0.0,,
2023-02-01 00:00:00,14,50.75,4.25,2.1536484,101404.97,10.025231,99.5,-80.0,102349.17,4.501005,0.59407496,278.66867,277.48138,0.0,0.0,0.0,-0.0078125,277.08618,,365.22592,278.35312,0.0,2.3841858e-07,88.20219,0.0,,
2023-02-01 00:00:00,15,50.75,4.25,41.873802,101412.945,10.075414,99.5,-80.0,102357.28,4.6287756,0.267406,278.18088,276.84238,0.0,0.0,0.0,-0.0078125,276.38992,-0.24777126,367.45663,278.07376,0.0,2.3841858e-07,78.26969,0.0,,
2023-02-01 00:00:00,16,50.75,4.25,16.505764,101414.62,10.146866,99.5,-80.0,102357.86,4.5822463,0.3278377,279.06274,277.69946,0.0,0.0,0.0,-0.0078125,277.5713,,365.16287,278.64307,0.0,2.3841858e-07,85.48292,0.0,,
2023-02-01 00:00:00,17,50.75,4.25,21.531948,101369.71,9.992662,99.5,-80.0,102311.516,4.8860397,0.45018005,279.6788,277.52756,0.0,0.0,0.0,-0.0078125,278.28683,,366.51102,278.53098,0.0,2.3841858e-07,98.49328,0.0,,
